singleton,flanking_gene_abbreviated,flanking_gene
9E1,9E1-UAS,LOC105284772
9E154,9E154-UAS,LOC105284947
9E155,9E155-UAS,LOC113562113
9E156,9E156-UAS,LOC105275056
9E231,9E231-UAS,LOC105277024
9E254,9E254-UAS,LOC105286906
9E28,9E28-UAS,LOC113563642
9E351,9E351-UAS,LOC105285938
A1,A1-UAS,LOC113561809
A2,A2-UAS,LOC105283098
C1,C1-UAS,LOC105276392
D1,D1-UAS,LOC105274913
D2,D2-UAS,LOC105274919
F1,F1-UAS,LOC105274454
H5,H5-UAS,LOC105282812
I1,I1-UAS,LOC105278802
Q3,Q3-UAS,LOC105286808
R3,R3-UAS,LOC105278596
9E1,9E1-DS,LOC105284771
9E152,9E152-DS,LOC105276411
9E154,9E154-DS,LOC105284956
9E155,9E155-DS,LOC105282274
9E156,9E156-DS,LOC113562119
9E254,9E254-DS,LOC113562699
9E350,9E350-DS,LOC113563052
9E351,9E351-DS,LOC113563034
9E88,9E88-DS,LOC105285720
B1,B1-DS,LOC105276455
D1,D1-DS,LOC105274910
G1,G1-DS,LOC105279576
H5,H5-DS,LOC105282809
I1,I1-DS,LOC109610939
J1,J1-DS,LOC105276337
R3,R3-DS,LOC105278595
W1,W1-DS,LOC105274968
9E152,9E152-US,LOC105276413
9E77,9E77-US,LOC105281577
9E88,9E88-US,LOC105287504
B1,B1-US,LOC105276457
E3,E3-US,LOC105275589
G1,G1-US,LOC113562160
J1,J1-US,LOC105287218
J3,J3-US,LOC105285882
U3,U3-US,LOC105287567
U67,U67-US,LOC105287312
W1,W1-US,LOC105274970
XA1,XA1-US,LOC105277425
9E106,9E106-DAS,LOC113561792
9E157,9E157-DAS,LOC105280799
9E231,9E231-DAS,LOC105277047
9E28,9E28-DAS,LOC113561492
9E352,9E352-DAS,LOC113563422
9E77,9E77-DAS,LOC105279403
A1,A1-DAS,LOC105285967
A2,A2-DAS,LOC113561810
C1,C1-DAS,LOC105276393
D2,D2-DAS,LOC105274925
E3,E3-DAS,LOC105275592
F1,F1-DAS,LOC105274452
J3,J3-DAS,LOC109611401
Q3,Q3-DAS,LOC105286807
U3,U3-DAS,LOC113561985
XA1,XA1-DAS,LOC105277421
