tandem_array,flanking_gene_abbreviated,flanking_gene
T3,T3-UAS,LOC105284282
T9,T9-UAS,LOC105278778
T10,T10-UAS,LOC105275236
T12,T12-UAS,LOC105288063
T13,T13-UAS,LOC105278461
T37,T37-UAS,LOC105287177
T45,T45-UAS,LOC105275104
T46,T46-UAS,LOC105285346
T48,T48-UAS,LOC105285925
T52,T52-UAS,LOC105274977
T57,T57-UAS,LOC105281739
T64,T64-UAS,LOC105278166
T67,T67-UAS,LOC105281913
T3,T3-DS,LOC105282249
T10,T10-DS,LOC105275239
T17,T17-DS,LOC105282190
T19,T19-DS,LOC105281990
T20,T20-DS,LOC105274950
T32,T32-DS,LOC105276766
T37,T37-DS,LOC105285854
T38,T38-DS,LOC105284146
T45,T45-DS,LOC105282603
T48,T48-DS,LOC109610649
T51,T51-DS,LOC105286072
T52,T52-DS,LOC105275197
T56,T56-DS,LOC105287975
T57,T57-DS,LOC105285022
T72,T72-DS,LOC105284780
T80,T80-DS,LOC105283314
T81,T81-DS,LOC105278031
T82,T82-DS,LOC105278034
T85,T85-DS,LOC105284667
T86,T86-DS,LOC105276310
T11,T11-US,LOC105277725
T19,T19-US,LOC105277520
T20,T20-US,LOC105274914
T32,T32-US,LOC105286974
T35,T35-US,LOC105287190
T38,T38-US,LOC105285167
T47,T47-US,LOC105283157
T51,T51-US,LOC105285696
T54,T54-US,LOC105277194
T56,T56-US,LOC105281796
T60,T60-US,LOC105284019
T70,T70-US,LOC113561829
T72,T72-US,LOC105284784
T79,T79-US,LOC105283342
T80,T80-US,LOC105278058
T81,T81-US,LOC113562311
T82,T82-US,LOC105278066
T85,T85-US,LOC105284671
T86,T86-US,LOC113562660
T9,T9-DAS,LOC113562950
T11,T11-DAS,LOC105277770
T12,T12-DAS,LOC105274684
T13,T13-DAS,LOC113562749
T46,T46-DAS,LOC113561853
T47,T47-DAS,LOC105283089
T54,T54-DAS,LOC105277163
T58,T58-DAS,LOC113561467
T64,T64-DAS,LOC105279409
T67,T67-DAS,LOC105284024
T70,T70-DAS,LOC105286793
T79,T79-DAS,LOC113561865
